list-card-addr,list-card-price,list-card-details,list-card-label,list-card-details 2,list-card-label 2,list-card-details 3,list-card-label 3,list-card-link href 2
"8488 160th St #405, Surrey, BC V4N 0V7","C$449,900",1,bd,1,ba,588,sqft,https://www.zillow.com/homedetails/8488-160th-St-405-Surrey-BC-V4N-0V7/2068517109_zpid/
"7155 134th St #304, Surrey, BC V3W 4T1","C$325,000",2,bds,2,ba,"1,306",sqft,https://www.zillow.com/homedetails/7155-134th-St-304-Surrey-BC-V3W-4T1/2076434483_zpid/
"10082 148th St #1902, Surrey, BC V3R 0S3","C$499,000",2,bds,2,ba,"1,202",sqft,https://www.zillow.com/homedetails/10082-148th-St-1902-Surrey-BC-V3R-0S3/2076437350_zpid/
"13438 Central Ave #2106, Surrey, BC V3T 0N2","C$499,999",3,bds,2,ba,747,sqft,https://www.zillow.com/homedetails/13438-Central-Ave-2106-Surrey-BC-V3T-0N2/2070259538_zpid/
"13688 100th Ave #2605, Surrey, BC V3T 0G5","C$469,700",1,bd,1,ba,583,sqft,https://www.zillow.com/homedetails/13688-100th-Ave-2605-Surrey-BC-V3T-0G5/2070053493_zpid/
"10180 153rd St #205, Surrey, BC V3R 0B5","C$529,000",2,bds,2,ba,899,sqft,https://www.zillow.com/homedetails/10180-153rd-St-205-Surrey-BC-V3R-0B5/2068429825_zpid/
"13618 100th Ave #2508, Surrey, BC V3T 0A8","C$398,000",1,bd,1,ba,603,sqft,https://www.zillow.com/homedetails/13618-100th-Ave-2508-Surrey-BC-V3T-0A8/2068425795_zpid/
"9979 140th St #114, Surrey, BC V3T 5W2","C$410,000",2,bds,2,ba,903,sqft,https://www.zillow.com/homedetails/9979-140th-St-114-Surrey-BC-V3T-5W2/2069109771_zpid/
"13880 101st Ave #1701, Surrey, BC V3T 5T1","C$575,000",2,bds,2,ba,"1,352",sqft,https://www.zillow.com/homedetails/13880-101st-Ave-1701-Surrey-BC-V3T-5T1/2068735522_zpid/
"9763 140th St #310, Surrey, BC V3T 4M4","C$469,000",2,bds,2,ba,955,sqft,https://www.zillow.com/homedetails/9763-140th-St-310-Surrey-BC-V3T-4M4/2068020194_zpid/
"13308 Central Ave #2501, Surrey, BC V3T 0M4","C$439,000",2,bds,1,ba,524,sqft,https://www.zillow.com/homedetails/13308-Central-Ave-2501-Surrey-BC-V3T-0M4/2068083605_zpid/
"13316 Old Yale Rd #410, Surrey, BC V3T 5J5","C$319,000",1,bd,1,ba,799,sqft,https://www.zillow.com/homedetails/13316-Old-Yale-Rd-410-Surrey-BC-V3T-5J5/2068537531_zpid/
"10838 Whalley Blvd #421, Surrey, BC V3T 0G1","C$629,900",2,bds,2,ba,933,sqft,https://www.zillow.com/homedetails/10838-Whalley-Blvd-421-Surrey-BC-V3T-0G1/2070515685_zpid/
"15351 101st Ave #108, Surrey, BC V3R 0G2","C$576,000",2,bds,2,ba,855,sqft,https://www.zillow.com/homedetails/15351-101st-Ave-108-Surrey-BC-V3R-0G2/2067995058_zpid/
"13655 Fraser Hwy #2806, Surrey, BC V3T 2V6","C$599,900",2,bds,1,ba,645,sqft,https://www.zillow.com/homedetails/13655-Fraser-Hwy-2806-Surrey-BC-V3T-2V6/2068820364_zpid/
"13495 Central Ave #2302, Surrey, BC V3T 0K2","C$469,000",1,bd,1,ba,561,sqft,https://www.zillow.com/homedetails/13495-Central-Ave-2302-Surrey-BC-V3T-0K2/2068436542_zpid/
